Railroad,Code,Station Name,Branch,Latitude,Longitude,Outbound Title,Inbound Title,Zone,Station URL,Parking Map URL,Accessibility,Georeference
LIRR,RSN,Roslyn,Oyster Bay,40.79054285,-73.6432807,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/roslyn,https://new.mta.info/document/117461,FULL,POINT (-73.6432807 40.79054285)
LIRR,SMR,Stewart Manor,Hempstead,40.72303304,-73.68106214,To Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/stewart-manor,https://new.mta.info/document/116076,FULL,POINT (-73.68106214 40.72303304)
LIRR,HOL,Hollis,Hempstead,40.71022657,-73.76660795,To Hempstead,To Jamaica & New York,3,https://new.mta.info/stations/hollis,https://new.mta.info/document/115926,NONE,POINT (-73.76660795 40.71022657)
LIRR,GVL,Greenvale,Oyster Bay,40.8155504,-73.62694429,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/greenvale,https://new.mta.info/document/115886,FULL,POINT (-73.62694429 40.8155504)
LIRR,GHD,Glen Head,Oyster Bay,40.8322646,-73.6261469,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/glen-head,https://new.mta.info/document/115821,FULL,POINT (-73.6261469 40.8322646)
LIRR,BRT,Belmont Park,Belmont,40.71368754,-73.72829722,Arrivals,Departures,4,https://new.mta.info/stations/belmont-park,,FULL,POINT (-73.72829722 40.71368754)
LIRR,SPK,Speonk,Montauk,40.82132553,-72.70533861,To Montauk,To Jamaica & New York,12,https://new.mta.info/stations/speonk,https://new.mta.info/document/115851,FULL,POINT (-72.70533861 40.82132553)
LIRR,CSH,Cold Spring Harbor,Port Jefferson,40.83562276,-73.45112791,To Huntington & Port Jefferson,To Jamaica & New York,9,https://new.mta.info/stations/cold-spring-harbor,https://new.mta.info/document/113691,PARTIAL,POINT (-73.45112791 40.83562276)
LIRR,RHD,Riverhead,Greenport,40.91980061,-72.66685927,To Greenport,To Jamaica & New York,14,https://new.mta.info/stations/riverhead,https://new.mta.info/document/117406,FULL,POINT (-72.66685927 40.91980061)
LIRR,RVC,Rockville Centre,Babylon,40.65835409,-73.6466154,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/rockville-centre,https://new.mta.info/document/117421,FULL,POINT (-73.6466154 40.65835409)
LIRR,BDY,Broadway,Port Washington,40.76165279,-73.80181951,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/broadway,https://new.mta.info/document/113666,FULL,POINT (-73.80181951 40.76165279)
LIRR,WYD,Wyandanch,Ronkonkoma,40.75484196,-73.3578579,To Ronkonkoma & Points East,To Jamaica & New York,9,https://new.mta.info/stations/wyandanch,https://new.mta.info/document/116131,FULL,POINT (-73.3578579 40.75484196)
LIRR,MQA,Massapequa,Babylon,40.67696852,-73.46898478,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/massapequa,https://new.mta.info/document/115816,FULL,POINT (-73.46898478 40.67696852)
LIRR,AGT,Amagansett,Montauk,40.98003502,-72.13259431,To Montauk,To Jamaica & New York,14,https://new.mta.info/stations/amagansett,https://new.mta.info/document/113631,FULL,POINT (-72.13259431 40.98003502)
LIRR,OBY,Oyster Bay,Oyster Bay,40.87532191,-73.53386679,Arrivals,Departures,7,https://new.mta.info/stations/oyster-bay,https://new.mta.info/document/117356,FULL,POINT (-73.53386679 40.87532191)
LIRR,SJM,St. James,Port Jefferson,40.88228415,-73.15934174,To Port Jefferson,To Jamaica & New York,10,https://new.mta.info/stations/st-james,https://new.mta.info/document/116071,FULL,POINT (-73.15934174 40.88228415)
LIRR,MIN,Mineola,Port Jefferson,40.74035013,-73.64087519,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/mineola,https://new.mta.info/document/116021,FULL,POINT (-73.64087519 40.74035013)
LIRR,ADL,Auburndale,Port Washington,40.76148239,-73.78974116,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/auburndale,https://new.mta.info/document/98101,FULL,POINT (-73.78974116 40.76148239)
LIRR,ABT,Albertson,Oyster Bay,40.77198286,-73.64170188,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/albertson,https://new.mta.info/document/97971,FULL,POINT (-73.64170188 40.77198286)
LIRR,PJN,Port Jefferson,Port Jefferson,40.93447575,-73.05244768,Arrivals,Departures,10,https://new.mta.info/stations/port-jefferson,https://new.mta.info/document/117391,FULL,POINT (-73.05244768 40.93447575)
LIRR,BWD,Brentwood,Ronkonkoma,40.78092582,-73.24324865,To Ronkonkoma & Points East,To Jamaica & New York,10,https://new.mta.info/stations/brentwood,https://new.mta.info/document/113656,FULL,POINT (-73.24324865 40.78092582)
LIRR,EMT,Elmont-UBS Arena,Hempstead,40.720074,-73.725549,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/elmont-ubs-arena,https://new.mta.info/document/113731,FULL,POINT (-73.725549 40.720074)
LIRR,WWD,Westwood,West Hempstead,40.66837883,-73.68118344,To West Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/westwood,https://new.mta.info/document/116116,FULL,POINT (-73.68118344 40.66837883)
LIRR,SHN,Southampton,Montauk,40.89507414,-72.38938784,To Montauk,To Jamaica & New York,14,https://new.mta.info/stations/southampton,https://new.mta.info/document/115826,FULL,POINT (-72.38938784 40.89507414)
LIRR,GNK,Great Neck,Port Washington,40.78718214,-73.72626362,To Port Washington,To New York,4,https://new.mta.info/stations/great-neck,https://new.mta.info/document/115846,FULL,POINT (-73.72626362 40.78718214)
LIRR,HEM,Hempstead,Hempstead,40.71316538,-73.62516422,Arrivals,Departures,4,https://new.mta.info/stations/hempstead,https://new.mta.info/document/115896,FULL,POINT (-73.62516422 40.71316538)
LIRR,WGH,Wantagh,Babylon,40.673048,-73.50888771,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/wantagh,https://new.mta.info/document/116091,FULL,POINT (-73.50888771 40.673048)
LIRR,GRV,Great River,Montauk,40.74047982,-73.16999864,"To Patchogue, Speonk, & Montauk",To Jamaica & New York,10,https://new.mta.info/stations/great-river,https://new.mta.info/document/115861,FULL,POINT (-73.16999864 40.74047982)
LIRR,MVN,Malverne,West Hempstead,40.67550074,-73.66880973,To West Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/malverne,https://new.mta.info/document/115781,FULL,POINT (-73.66880973 40.67550074)
LIRR,BPT,Bellport,Montauk,40.77376884,-72.94363461,To Speonk & Montauk,To Jamaica & New York,12,https://new.mta.info/stations/bellport,https://new.mta.info/document/113646,FULL,POINT (-72.94363461 40.77376884)
LIRR,BMR,Bellmore,Babylon,40.66883214,-73.5288878,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/bellmore,https://new.mta.info/document/113641,FULL,POINT (-73.5288878 40.66883214)
LIRR,ENY,East New York,City Terminal Zone,40.67595024,-73.90374759,To Jamaica & Points East,To Atlantic Terminal,1,https://new.mta.info/stations/east-new-york,,NONE,POINT (-73.90374759 40.67595024)
LIRR,CPL,Carle Place,Port Jefferson,40.7492723,-73.60345352,To Points East,To Jamaica & New York,7,https://new.mta.info/stations/carle-place,https://new.mta.info/document/113671,FULL,POINT (-73.60345352 40.7492723)
LIRR,HWT,Hewlett,Far Rockaway,40.63669756,-73.70523093,To Far Rockaway,To Jamaica & New York,4,https://new.mta.info/stations/hewlett,https://new.mta.info/document/115906,FULL,POINT (-73.70523093 40.63669756)
LIRR,FRY,Far Rockaway,Far Rockaway,40.60915917,-73.75059373,Arrivals,Departures,4,https://new.mta.info/stations/far-rockaway,https://new.mta.info/document/113736,FULL,POINT (-73.75059373 40.60915917)
LIRR,HPA,Hunterspoint Av,City Terminal Zone,40.74232948,-73.94702785,To Jamaica & Points East,To Long Island City,1,https://new.mta.info/stations/hunterspoint-avenue,,NONE,POINT (-73.94702785 40.74232948)
LIRR,HVL,Hicksville,Port Jefferson,40.7671451,-73.52852279,To Points East,To Jamaica & New York,7,https://new.mta.info/stations/hicksville,https://new.mta.info/document/115916,FULL,POINT (-73.52852279 40.7671451)
LIRR,LCE,Lawrence,Far Rockaway,40.61576138,-73.73583686,To Far Rockaway,To Jamaica & New York,4,https://new.mta.info/stations/lawrence,https://new.mta.info/document/116006,FULL,POINT (-73.73583686 40.61576138)
LIRR,CI,Central Islip,Ronkonkoma,40.79191079,-73.19441548,To Ronkonkoma & Points East,To Jamaica & New York,10,https://new.mta.info/stations/central-islip,https://new.mta.info/document/113681,FULL,POINT (-73.19441548 40.79191079)
LIRR,LVW,Lakeview,West Hempstead,40.68584786,-73.65213781,To West Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/lakeview,https://new.mta.info/document/115996,FULL,POINT (-73.65213781 40.68584786)
LIRR,MSY,Mastic-Shirley,Montauk,40.79898926,-72.86432497,To Speonk & Montauk,To Jamaica & New York,12,https://new.mta.info/stations/mastic-shirley,https://new.mta.info/document/115856,FULL,POINT (-72.86432497 40.79898926)
LIRR,BSR,Bay Shore,Montauk,40.72461326,-73.25374297,"To Patchogue, Speonk, & Montauk",To Jamaica & New York,10,https://new.mta.info/stations/bay-shore,https://new.mta.info/document/98441,FULL,POINT (-73.25374297 40.72461326)
LIRR,LMR,Locust Manor,Far Rockaway,40.67516489,-73.7650805,To Points East,To Jamaica & New York,3,https://new.mta.info/stations/locust-manor,https://new.mta.info/document/114201,NONE,POINT (-73.7650805 40.67516489)
LIRR,BWN,Baldwin,Babylon,40.65678547,-73.60716189,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/baldwin,https://new.mta.info/document/98436,FULL,POINT (-73.60716189 40.65678547)
LIRR,MPK,Massapequa Park,Babylon,40.67790139,-73.45466653,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/massapequa-park,https://new.mta.info/document/115841,FULL,POINT (-73.45466653 40.67790139)
LIRR,GBN,Gibson,Far Rockaway,40.64920962,-73.7018338,To Far Rockaway,To Jamaica & New York,4,https://new.mta.info/stations/gibson,https://new.mta.info/document/115796,FULL,POINT (-73.7018338 40.64920962)
LIRR,GCT,Grand Central,City Terminal Zone,40.75516235,-73.97545486,Departures,Arrivals,1,https://new.mta.info/stations/grand-central-madison,,FULL,POINT (-73.97545486 40.75516235)
LIRR,IPK,Island Park,Long Beach,40.60141315,-73.65458563,To Long Beach,To Jamaica & New York,7,https://new.mta.info/stations/island-park,https://new.mta.info/document/115946,FULL,POINT (-73.65458563 40.60141315)
LIRR,SVL,Sayville,Montauk,40.7404148,-73.08664699,"To Patchogue, Speonk, & Montauk",To Jamaica & New York,10,https://new.mta.info/stations/sayville,https://new.mta.info/document/117466,FULL,POINT (-73.08664699 40.7404148)
LIRR,MHT,Manhasset,Port Washington,40.79674855,-73.69983683,To Port Washington,To New York,4,https://new.mta.info/stations/manhasset,https://new.mta.info/document/115786,FULL,POINT (-73.69983683 40.79674855)
LIRR,LBH,Long Beach,Long Beach,40.59047232,-73.66452517,Arrivals,Departures,7,https://new.mta.info/stations/long-beach,https://new.mta.info/document/117331,FULL,POINT (-73.66452517 40.59047232)
LIRR,AVL,Amityville,Babylon,40.68030257,-73.42032085,To Babylon & Points East,To Jamaica & New York,9,https://new.mta.info/stations/amityville,https://new.mta.info/document/97966,FULL,POINT (-73.42032085 40.68030257)
LIRR,FMD,Farmingdale,Ronkonkoma,40.7359587,-73.44109502,To Ronkonkoma & Points East,To Jamaica & New York,7,https://new.mta.info/stations/farmingdale,https://new.mta.info/document/113741,FULL,POINT (-73.44109502 40.7359587)
LIRR,SCF,Sea Cliff,Oyster Bay,40.85274959,-73.62541832,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/sea-cliff,https://new.mta.info/document/117471,FULL,POINT (-73.62541832 40.85274959)
LIRR,MFD,Medford,Greenport,40.8174148,-72.99859279,To Greenport,To Jamaica & New York,10,https://new.mta.info/stations/medford,https://new.mta.info/document/115911,FULL,POINT (-72.99859279 40.8174148)
LIRR,GCV,Glen Cove,Oyster Bay,40.86569288,-73.61637968,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/glen-cove,https://new.mta.info/document/115811,FULL,POINT (-73.61637968 40.86569288)
LIRR,LTN,Laurelton,Far Rockaway,40.66853133,-73.75179637,To Points East,To Jamaica & New York,3,https://new.mta.info/stations/laurelton,https://new.mta.info/document/116001,NONE,POINT (-73.75179637 40.66853133)
LIRR,PWS,Port Washington,Port Washington,40.82915358,-73.68739411,Arrivals,Departures,4,https://new.mta.info/stations/port-washington,https://new.mta.info/document/117396,FULL,POINT (-73.68739411 40.82915358)
LIRR,NHP,New Hyde Park,Port Jefferson,40.730787,-73.68086663,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/new-hyde-park,https://new.mta.info/document/116101,FULL,POINT (-73.68086663 40.730787)
LIRR,BSD,Bayside,Port Washington,40.76318515,-73.77084009,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/bayside,https://new.mta.info/document/98446,FULL,POINT (-73.77084009 40.76318515)
LIRR,CLP,Country Life Press,Hempstead,40.72137501,-73.62957195,To Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/country-life-press,https://new.mta.info/document/113701,FULL,POINT (-73.62957195 40.72137501)
LIRR,NAV,Nostrand Av,City Terminal Zone,40.67838534,-73.94829171,To Jamaica & Points East,To Atlantic Terminal,1,https://new.mta.info/stations/nostrand-avenue,,FULL,POINT (-73.94829171 40.67838534)
LIRR,GPT,Greenport,Greenport,41.09982935,-72.36260645,Arrivals,Departures,14,https://new.mta.info/stations/greenport,https://new.mta.info/document/115876,FULL,POINT (-72.36260645 41.09982935)
LIRR,FPT,Freeport,Babylon,40.65749664,-73.58234056,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/freeport,https://new.mta.info/document/113761,FULL,POINT (-73.58234056 40.65749664)
LIRR,MAV,Merillon Av,Port Jefferson,40.7349414,-73.66348172,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/merillon-avenue,https://new.mta.info/document/115921,FULL,POINT (-73.66348172 40.7349414)
LIRR,HBY,Hampton Bays,Montauk,40.87665017,-72.52385806,To Montauk,To Jamaica & New York,14,https://new.mta.info/stations/hampton-bays,https://new.mta.info/document/115891,FULL,POINT (-72.52385806 40.87665017)
LIRR,ROS,Rosedale,Far Rockaway,40.66591993,-73.73548579,To Points East,To Jamaica & New York,3,https://new.mta.info/stations/rosedale,https://new.mta.info/document/117456,FULL,POINT (-73.73548579 40.66591993)
LIRR,HUN,Huntington,Port Jefferson,40.85301307,-73.40953855,To Port Jefferson,To Jamaica & New York,9,https://new.mta.info/stations/huntington,https://new.mta.info/document/115931,FULL,POINT (-73.40953855 40.85301307)
LIRR,LHT,Lindenhurst,Babylon,40.68828515,-73.36928389,To Babylon & Points East,To Jamaica & New York,9,https://new.mta.info/stations/lindenhurst,https://new.mta.info/document/116011,FULL,POINT (-73.36928389 40.68828515)
LIRR,NPT,Northport,Port Jefferson,40.88065582,-73.32818209,To Port Jefferson,To Jamaica & New York,9,https://new.mta.info/stations/northport,https://new.mta.info/document/116161,FULL,POINT (-73.32818209 40.88065582)
LIRR,BPG,Bethpage,Ronkonkoma,40.74314217,-73.48356944,To Ronkonkoma & Points East,To Jamaica & New York,7,https://new.mta.info/stations/bethpage,https://new.mta.info/document/113651,FULL,POINT (-73.48356944 40.74314217)
LIRR,FPK,Floral Park,Hempstead,40.72465747,-73.70605881,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/floral-park,https://new.mta.info/document/113746,FULL,POINT (-73.70605881 40.72465747)
LIRR,MRK,Merrick,Babylon,40.66386508,-73.55050976,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/merrick,https://new.mta.info/document/115956,FULL,POINT (-73.55050976 40.66386508)
LIRR,WHN,Westhampton,Montauk,40.83032007,-72.65008386,To Montauk,To Jamaica & New York,14,https://new.mta.info/stations/westhampton,https://new.mta.info/document/116111,FULL,POINT (-72.65008386 40.83032007)
LIRR,ODL,Oakdale,Montauk,40.74346488,-73.13248255,"To Patchogue, Speonk, & Montauk",To Jamaica & New York,10,https://new.mta.info/stations/oakdale,https://new.mta.info/document/117346,FULL,POINT (-73.13248255 40.74346488)
LIRR,MAK,Mattituck,Greenport,40.99178973,-72.53602739,To Greenport,To Jamaica & New York,14,https://new.mta.info/stations/mattituck,https://new.mta.info/document/115881,FULL,POINT (-72.53602739 40.99178973)
LIRR,GST,Glen Street,Oyster Bay,40.85822207,-73.62079268,To Oyster Bay,To Jamaica & New York,7,https://new.mta.info/stations/glen-street,https://new.mta.info/document/115831,FULL,POINT (-73.62079268 40.85822207)
LIRR,PGE,Patchogue,Montauk,40.76189444,-73.01557613,"To Speonk, & Montauk",To Jamaica & New York,10,https://new.mta.info/stations/patchogue,https://new.mta.info/document/117361,FULL,POINT (-73.01557613 40.76189444)
LIRR,CAV,Centre Av,Long Beach,40.64828328,-73.66390628,To Long Beach,To Jamaica & New York,7,https://new.mta.info/stations/centre-avenue,https://new.mta.info/document/113686,FULL,POINT (-73.66390628 40.64828328)
LIRR,ISP,Islip,Montauk,40.73593032,-73.20891105,"To Patchogue, Speonk, & Montauk",To Jamaica & New York,10,https://new.mta.info/stations/islip,https://new.mta.info/document/115951,FULL,POINT (-73.20891105 40.73593032)
LIRR,MTK,Montauk,Montauk,41.04745519,-71.95369127,Arrivals,Departures,14,https://new.mta.info/stations/montauk,https://new.mta.info/document/115991,FULL,POINT (-71.95369127 41.04745519)
LIRR,CHT,Cedarhurst,Far Rockaway,40.62233075,-73.72595826,To Far Rockaway,To Jamaica & New York,4,https://new.mta.info/stations/cedarhurst,https://new.mta.info/document/113676,FULL,POINT (-73.72595826 40.62233075)
LIRR,LYN,Lynbrook,Long Beach,40.65615355,-73.67603995,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/lynbrook,https://new.mta.info/document/117341,FULL,POINT (-73.67603995 40.65615355)
LIRR,DPK,Deer Park,Ronkonkoma,40.76954088,-73.29336195,To Ronkonkoma & Points East,To Jamaica & New York,9,https://new.mta.info/stations/deer-park,https://new.mta.info/document/113706,FULL,POINT (-73.29336195 40.76954088)
LIRR,WHD,West Hempstead,West Hempstead,40.70202607,-73.64154322,Arrivals,Departures,4,https://new.mta.info/stations/west-hempstead,https://new.mta.info/document/116096,FULL,POINT (-73.64154322 40.70202607)
LIRR,BTA,Babylon,Babylon,40.70076415,-73.32408767,"To Patchogue, Speonk, & Montauk",To Jamaica & New York,9,https://new.mta.info/stations/babylon,https://new.mta.info/document/98431,FULL,POINT (-73.32408767 40.70076415)
LIRR,KPK,Kings Park,Port Jefferson,40.88368828,-73.25600585,To Port Jefferson,To Jamaica & New York,10,https://new.mta.info/stations/kings-park,https://new.mta.info/document/115986,FULL,POINT (-73.25600585 40.88368828)
LIRR,NBD,Nassau Blvd,Hempstead,40.72297212,-73.66308736,To Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/nassau-boulevard,https://new.mta.info/document/116036,FULL,POINT (-73.66308736 40.72297212)
LIRR,SAB,St. Albans,West Hempstead,40.69126726,-73.76549112,To Points East,To Jamaica & New York,3,https://new.mta.info/stations/st-albans,https://new.mta.info/document/115866,NONE,POINT (-73.76549112 40.69126726)
